Razao_Social;CNPJ;Endereco;Latitude;Longitude;Nome_Fantasia;Municipio;Frequencia;UF;ID_Estação;Rede;Canal;Largura_de_banda;Modulacao;Servico_RNR;Situacao_de_Licenciamento;Servico_ANATEL;Observação
 PREFEITURA MUNICIPAL DE SANTO ANTONIO DA PATRULHA; 88814199000132; AV BORGES DE MEDEIROS N 456, .; 29S513600; 50W223200;; Santo Antônio da Patrulha;543250,0000; RS; 9626417;;26;6000;ISDB-T;TV Digital;;802;
 TELEVISAO BANDEIRANTES DE PRESIDENTE PRUDENTE LTDA; 50609973000109; RUA ALBERTO ARTONI, 75; 22S255300; 50W120200; BAND; Presidente Prudente;489250,0000; SP; 9123474;;17;6000;PAL-M;TV Analógica;;800;
 TV OMEGA LTDA; 02131538000160; AVENIDA PRESIDENTE KENNEDY, 2869; 22S285100; 46W374700; REDE TV; Osasco;681250,0000; SP; 9123709;;49;6000;PAL-M;TV Analógica;;800;
 REDE VITORIOSA DE COMUNICACOES LTDA; 03521447000102; RUA PEPINO LATERZA, 920; 18S530000; 48W151000;; Ituiutaba;55250,0000; MG; 322399688;;2;6000;PAL-M;TV Analógica;;800;
 WEB COMUNICACAO LTDA; 03604300000178; SHIN QI 2 CONJUNTO 1, LOJA 01; 14S062200; 46W375700;; Brasília;96700,0000; DF; 689799268;;244;200;FM;Rádio;;230;
 INSTITUTO DE RADIODIFUSAO EDUCATIVA DA BAHIA - IRDEB; 13420609000161; RUA PEDRO GAMA, 413-E; 13S020000; 39W351000;; Salvador;211250,0000; BA; 323670032;;13;6000;PAL-M;TV Analógica;;800;
 TELEVISAO ITAPOAN SOCIEDADE ANONIMA; 15122492000165; JARDIM FEDERACAO, 81; 10S353420; 38W225870;; Salvador;61250,0000; BA; 322645620;;3;6000;PAL-M;TV Analógica;;800;
 FUNDACAO NAZARE DE COMUNICACAO; 83369470000154; AVENIDA GOVERNADOR JOSE MALCHER, 915; 14S371000; 57W290900;; Belém;83250,0000; PA; 323716288;;6;6000;ISDB-T;TV Digital;;802;
 RADIO TV DO AMAZONAS LTDA; 04387825000161; AVENIDA ANDRE ARAUJO, 1555; 09S123000; 63W043600;; Manaus;77250,0000; AM; 323707327;;5;6000;ISDB-T;TV Digital;;802;
 STEREO RADIO FM DE ITUVERAVA LTDA; 50514728000100; RUA JOAO PESSOA, 116, .; 20S221400; 47W481100; 'DIMENSAO FM'; Ituverava;104500,0000; SP; 9148973;;283;200;FM;Rádio;;230;
 TV STUDIOS DE RIBEIRAO PRETO LTDA; 54022488000187; RUA JAVARI, 195; 21S553300; 46W433500;; Ribeirão Preto;735250,0000; SP; 9124705;;58;6000;PAL-M;TV Analógica;;800;
 PREFEITURA MUNICIPAL DE PEDRO GOMES; 03352986000157; RUA MINAS GERAIS S/N, .; 18S060000; 54W330000;; Pedro Gomes;211250,0000; MS; 322833434;;13;6000;ISDB-T;TV Digital;;802;
 SNC - SISTEMA NORTE DE COMUNICACAO LTDA; 14069710000182; RODOVIA TRANSAMAZÔNICA, S/N; 05S211982; 49W053970;; Marabá;90900,0000; PA; 322802938;;215;200;FM;Rádio;;230;
 COMPANHIA ESTADUAL DE ENERGIA ELETRICA; 92715812058725; AVENIDA IPIRANGA NR 8300, .; 31S254100; 53W401400;; Porto Alegre;175250,0000; RS; 9623760;;7;6000;PAL-M;TV Analógica;;800;
 RADIO TV DO AMAZONAS LTDA; 04387825000161; AVENIDA ANDRE ARAUJO, 1555; 04S323500; 71W365200;; Manaus;181250,0000; AM; 322993938;;8;6000;ISDB-T;TV Digital;;802;
 TV SERRA DOURADA LTDA; 01061837000103; RUA 73, 349; 15S102500; 48W163800; TV SERRA DOURADA; Goiânia;699250,0000; GO; 323705332;;52;6000;PAL-M;TV Analógica;;800;
 FUNDACAO DE TELEDUCACAO DO ESTADO DO CEARA-FUNTELC; 09470303000142; RUA OSVALDO CRUZ, 1985; 06S190000; 40W090000; TVC - TV CEARA CANAL 5; Fortaleza;77250,0000; CE; 322891620;;5;6000;ISDB-T;TV Digital;;802;
 SOM TRES RADIODIFUSAO LTDA; 55748495000123; AVENIDA CAPITAO OLINTO MANCINI, N° 2550; 20S424400; 51W430300; RADIO CIDADE FM TRES LAGOAS; Três Lagoas;102900,0000; MS; 322833850;;275;200;FM;Rádio;;230;
 FIRENZE COMUNICACAO E PRODUCAO LTDA; 83601690000161; RUA DEPUTADO ANTONIO EDU VIEIRA, 880; 26S595310; 51W100240;; Florianópolis;199250,0000; SC; 323092144;;11;6000;PAL-M;TV Analógica;;800;
 SISTEMA TV PAULISTA LTDA; 03822583000124; RUA AUGUSTA, 1598, 8O.ANDAR, .; 25S122700; 49W065300;; São Paulo;; SP; 683114123;;;6000;PAL-M;TV Analógica;;800;
 RADIO E TELEVISAO BANDEIRANTES DO RIO DE JANEIRO LTDA; 33050733000513; RUA ALVARO RAMOS, .; 22S213390; 42W340220;; Rio de Janeiro;181250,0000; RJ; 6749070;;8;6000;ISDB-T;TV Digital;;802;
 PREFEITURA MUNICIPAL DE RIBAS DO RIO PARDO; 03501541000191; RUA CONCEICAO DO RIO PARDO NR 1715, .; 20S263500; 53W453300;; Ribas do Rio Pardo;193250,0000; MS; 322824826;;10;6000;PAL-M;TV Analógica;;800;
 RADIO LIBERAL FM LTDA; 57262859000196; RUA MONTE CASTELO, 941; 21S291100; 51W314400;; Dracena;92700,0000; SP; 9156259;;224;200;FM;Rádio;;230;
 RADIO FM ILUSTRADA LTDA; 79323994000137; RUA DESEMBARGADOR MUNHOZ DE MELLO, 5400; 23S454000; 53W185000;; Umuarama;102300,0000; PR; 322531748;;272;200;FM;Rádio;;230;
 TELEVISAO BANDEIRANTES DE PRESIDENTE PRUDENTE LTDA; 50609973000109; RUA ALBERTO ARTONI, 75; 22S255300; 50W120200; BAND; Presidente Prudente;489250,0000; SP; 9123474;;17;6000;ISDB-T;TV Digital;;802;
 TELEVISAO INDEPENDENTE DE SAO JOSE DO RIO PRETO LTDA; 61413092000126; RUA GERALDINA VERONICA BATISTA DE CAMARGO, 400; 07S065400; 34W514700;; São José do Rio Preto;675250,0000; SP; 323259898;;48;6000;ISDB-T;TV Digital;;802;
 TELEVISAO CIDADE VERDE S/A; 24964108000162; AV. ARCHIMEDES PEREIRA LIMA, N° 1200; 15S532400; 52W152400;; Cuiabá;549250,0000; MT; 441585000;;27;6000;ISDB-T;TV Digital;;802;
